id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
1024195,2014-05-20,2014-05-20,,Jerusalem,59856,nasserhalaweh,Nasser Halaweh,2014-10-18 15:39:53 UTC,2019-12-08 05:18:23 UTC,research,CC-BY,http://www.inaturalist.org/observations/1024195,https://inaturalist-open-data.s3.amazonaws.com/photos/1284021/medium.jpg,,Phasianidae,"Alectoris chukar sinaica (Bonaparte, 1858)
CHUKAR 

This nest was found with 10 eggs that were incubated in a simple homemade incubator and after a period of 6 days all hatched.

See my photos of the chicks.
https://www.inaturalist.org/observations/1025405
",2,0,false,,Bir zayt,31.962473,35.179221,5789,,,,5789,,open,false,,,Alectoris chukar,Alectoris chukar,Chukar,Aves,846
1127971,2014-10-28,2014-10-28,,Rome,20518,finrod,Stefano Doglio,2014-12-12 19:30:37 UTC,2020-01-16 06:56:27 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1127971,https://inaturalist-open-data.s3.amazonaws.com/photos/1417945/medium.JPG,,"","",4,0,false,,Mitspe Shalem,31.563025,35.401987,150,,,,150,,open,false,,,Blackstart,Oenanthe melanura,Blackstart,Aves,980212
1127972,2014-10-28,2014-10-28,,Rome,20518,finrod,Stefano Doglio,2014-12-12 19:31:08 UTC,2019-12-07 18:15:01 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1127972,https://inaturalist-open-data.s3.amazonaws.com/photos/1417946/medium.JPG,,"","",6,0,false,,Mitspe Shalem,31.563025,35.401987,150,,,,150,,open,false,,,House Sparrow,Passer domesticus,House Sparrow,Aves,13858
1127975,2014-10-28,2014-10-28,,Rome,20518,finrod,Stefano Doglio,2014-12-12 19:32:32 UTC,2019-12-08 05:05:25 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1127975,https://inaturalist-open-data.s3.amazonaws.com/photos/1417949/medium.JPG,,"","",5,0,false,,Mitspe Shalem,31.563025,35.401987,150,,,,150,,open,false,,,Tristram's Starling,Onychognathus tristramii,Tristram's Starling,Aves,14978
1255467,2014-12-05,2014-12-05,,Rome,20518,finrod,Stefano Doglio,2015-02-24 09:56:42 UTC,2019-12-08 05:05:45 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1255467,https://inaturalist-open-data.s3.amazonaws.com/photos/1576075/medium.JPG,,"","",4,0,false,,"Kotel Plaza, Jerusalem",31.775993,35.233571,25,,,,25,,open,false,,,House Sparrow,Passer domesticus,House Sparrow,Aves,13858
4024247,2016/09/03 2:32 PM IDT,2016-09-03,2016-09-03 11:32:00 UTC,Jerusalem,319930,noam_givon,Noam,2016-09-03 15:19:14 UTC,2018-12-17 11:34:32 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/4024247,https://inaturalist-open-data.s3.amazonaws.com/photos/4756037/medium.jpeg,,"",                               ,2,0,false,,"Jerusalem, Israel",31.804023221,35.1715278625,61,,,,61,,open,false,,,Cretzschmar's Bunting,Emberiza caesia,Cretzschmar's Bunting,Aves,9211
5029744,2017/01/21 4:21 PM IST,2017-01-21,2017-01-21 14:21:00 UTC,Jerusalem,319930,noam_givon,Noam,2017-01-30 20:55:15 UTC,2019-10-26 20:08:38 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/5029744,https://inaturalist-open-data.s3.amazonaws.com/photos/6157320/medium.jpeg,,"",,6,0,false,,"Mevaseret Zion, Israel",31.810241462,35.1521730423,15,,,,15,,open,false,,,Pinson du Nord,Fringilla montifringilla,Brambling,Aves,10069
5140651,2017/02/19 3:36 PM CET,2017-02-19,2017-02-19 14:36:00 UTC,Paris,20518,finrod,Stefano Doglio,2017-02-20 06:08:20 UTC,2022-11-15 15:52:22 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/5140651,https://inaturalist-open-data.s3.amazonaws.com/photos/6329421/medium.jpeg,,"",,4,0,false,,Kotel Plaza,31.776798,35.233993,50,,,,50,,open,false,,,Feral Pigeon,Columba livia domestica,Feral Pigeon,Aves,122767
5140652,2017/02/19 3:24 PM CET,2017-02-19,2017-02-19 14:24:00 UTC,Paris,20518,finrod,Stefano Doglio,2017-02-20 06:08:20 UTC,2023-03-08 07:43:56 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/5140652,https://inaturalist-open-data.s3.amazonaws.com/photos/6329414/medium.jpeg,,"",,1,0,false,,Kotel Plaza,31.776798,35.233993,50,,,,50,,open,false,,,Laughing Dove,Spilopelia senegalensis,Laughing Dove,Aves,1455922
5289696,2017-03-12 11:48:26 a.m. GMT+02:00,2017-03-12,2017-03-12 08:48:26 UTC,Baghdad,30467,mattiamenchetti,Mattia Menchetti,2017-03-12 16:59:42 UTC,2019-12-08 05:08:12 UTC,research,CC-BY,https://www.inaturalist.org/observations/5289696,https://inaturalist-open-data.s3.amazonaws.com/photos/6543538/medium.jpeg,,"",,5,0,false,2,"Bethlehem, PS-WE, PS",31.57998451,35.40879366,5,,,,5,,open,false,,,Tristram's Starling,Onychognathus tristramii,Tristram's Starling,Aves,14978
