id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
177012209,2023-08-06 14:19:00+03:00,2023-08-06,2023-08-06 11:19:00 UTC,Asia/Hebron,5445328,sb610,Samson B,2023-08-06 18:11:16 UTC,2023-08-08 22:24:52 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/177012209,https://inaturalist-open-data.s3.amazonaws.com/photos/307810594/medium.jpg,,"","",1,0,false,3,,31.6748541876,35.4132801488,4,,,,29199,obscured,,true,,,Arabian Green Bee-eater,Merops cyanophrys,Arabian Green Bee-eater,Aves,1430301
177949079,Sat Aug 12 2023 08:59:16 GMT +0300 (GMT),2023-08-12,2023-08-12 05:59:16 UTC,Jerusalem,7121176,sethbcannon,,2023-08-12 06:05:21 UTC,2024-05-04 23:56:35 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/177949079,https://inaturalist-open-data.s3.amazonaws.com/photos/309567455/medium.jpeg,,"",,3,1,false,333,At Tur,31.7864227295,35.2445640564,35,,,,35,,open,false,,,Laughing Dove,Spilopelia senegalensis,Laughing Dove,Aves,1455922
178533813,2023-08-15 15:56:46,2023-08-15,2023-08-15 12:56:46 UTC,Jerusalem,4546729,jack_fogle,jack fogle,2023-08-15 14:37:34 UTC,2023-08-16 08:17:29 UTC,research,,https://www.inaturalist.org/observations/178533813,https://static.inaturalist.org/photos/310683536/medium.jpeg,,"",,1,0,false,2,"Mount of Olives, Jerusalem",31.779585561,35.2391889319,215,,,,215,,,false,,,Hooded Crow,Corvus cornix,Hooded Crow,Aves,144757
179641455,2023-08-19 14:22:29,2023-08-19,2023-08-19 11:22:29 UTC,Asia/Hebron,4546729,jack_fogle,jack fogle,2023-08-22 06:24:00 UTC,2023-08-23 09:37:00 UTC,research,,https://www.inaturalist.org/observations/179641455,https://static.inaturalist.org/photos/312896196/medium.jpeg,,"",,1,0,false,2,"Jericho, PS-WE, PS",31.7613929028,35.5040922761,59,,,,59,,open,false,gps,gps,Common Myna,Acridotheres tristis,Common Myna,Aves,204454
179699062,2023-08-22 18:25:01,2023-08-22,2023-08-22 15:25:01 UTC,Asia/Hebron,4546729,jack_fogle,jack fogle,2023-08-22 16:34:30 UTC,2023-11-28 06:23:57 UTC,research,,https://www.inaturalist.org/observations/179699062,https://static.inaturalist.org/photos/312896906/medium.jpeg,,"",,1,0,false,2,"Jericho, PS-WE, PS",31.8576762404,35.4589926079,5531,,,,5531,,open,false,gps,gps,White Stork,Ciconia ciconia,White Stork,Aves,4733
181220444,2023-09-01 16:19:10+03:00,2023-09-01,2023-09-01 13:19:10 UTC,Jerusalem,95151,tereg,,2023-09-01 16:28:54 UTC,2023-09-07 19:33:18 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/181220444,https://inaturalist-open-data.s3.amazonaws.com/photos/315804933/medium.jpg,,"","",2,0,false,3,"Madregot Ma'ale E Tabuna, Old City Jerusalem",31.7766737962,35.2315236896,40,,,,40,,open,false,,,tórtola del Senegal,Spilopelia senegalensis,Laughing Dove,Aves,1455922
185716096,2023-10-01 14:10:32+03:00,2023-10-01,2023-10-01 11:10:32 UTC,Asia/Hebron,1710258,cooperzion07,,2023-10-01 11:14:02 UTC,2023-10-28 21:16:16 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/185716096,https://inaturalist-open-data.s3.amazonaws.com/photos/324396913/medium.jpg,,"","",2,0,false,3,"Arafat Street, Beit Sahur",31.7078700003,35.225405,34,,,,34,,open,false,,,Common Redstart,Phoenicurus phoenicurus,Common Redstart,Aves,12992
186576851,2023/08/26 11:12 AM,2023-08-26,2023-08-26 08:12:00 UTC,Asia/Hebron,4217199,yair_ben_perets,Yair ben perets,2023-10-07 18:29:27 UTC,2023-10-11 13:12:55 UTC,research,,https://www.inaturalist.org/observations/186576851,https://static.inaturalist.org/photos/326067416/medium.jpeg,,"","",1,0,false,,"Tubas, West Bank, Palestine",32.32702,35.5358566667,,,,,,,open,false,,,שרקרק ירוק,Merops persicus,Blue-cheeked Bee-eater,Aves,2245
187079920,2023/10/02 11:58 PM,2023-10-02,2023-10-02 20:58:00 UTC,Asia/Hebron,159910,mlodinow,Steven Mlodinow,2023-10-11 03:34:51 UTC,2024-07-26 18:26:45 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/187079920,https://inaturalist-open-data.s3.amazonaws.com/photos/327089886/medium.jpg,,"",,3,0,false,,"Bethlehem, PS-WE, PS",31.49406,35.396072,100,,,,100,,open,false,,,Fan-tailed Raven,Corvus rhipidurus,Fan-tailed Raven,Aves,8046
187083611,2023/10/02 11:51 PM,2023-10-02,2023-10-02 20:51:00 UTC,Asia/Hebron,159910,mlodinow,Steven Mlodinow,2023-10-11 04:28:18 UTC,2023-10-12 11:51:30 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/187083611,https://inaturalist-open-data.s3.amazonaws.com/photos/327097475/medium.jpg,,"",,3,0,false,,"Bethlehem, PS-WE, PS",31.5178680915,35.3912887463,143,,,,143,,open,false,,,Tristram's Starling,Onychognathus tristramii,Tristram's Starling,Aves,14978
